season,team,rank
2023,Manchester City,1
2023,Arsenal,2
2023,Liverpool,3
2023,Aston Villa,4
2023,Tottenham,5
2023,Chelsea,6
2023,Newcastle Utd,7
2023,Manchester Utd,8
2023,West Ham,9
2023,Crystal Palace,10
2023,Brighton,11
2023,Bournemouth,12
2023,Fulham,13
2023,Wolves,14
2023,Everton,15
2023,Brentford,16
2023,Nott'ham Forest,17
2023,Luton Town,18
2023,Burnley,19
2023,Sheffield Utd,20
2022,Manchester City,1
2022,Arsenal,2
2022,Manchester Utd,3
2022,Newcastle Utd,4
2022,Liverpool,5
2022,Brighton,6
2022,Aston Villa,7
2022,Tottenham,8
2022,Brentford,9
2022,Fulham,10
2022,Crystal Palace,11
2022,Chelsea,12
2022,Wolves,13
2022,West Ham,14
2022,Bournemouth,15
2022,Nott'ham Forest,16
2022,Everton,17
2022,Leicester City,18
2022,Leeds United,19
2022,Southampton,20
2021,Manchester City,1
2021,Liverpool,2
2021,Chelsea,3
2021,Tottenham,4
2021,Arsenal,5
2021,Manchester Utd,6
2021,West Ham,7
2021,Leicester City,8
2021,Brighton,9
2021,Wolves,10
2021,Newcastle Utd,11
2021,Crystal Palace,12
2021,Brentford,13
2021,Aston Villa,14
2021,Southampton,15
2021,Everton,16
2021,Leeds United,17
2021,Burnley,18
2021,Watford,19
2021,Norwich City,20
2020,Manchester City,1
2020,Manchester Utd,2
2020,Liverpool,3
2020,Chelsea,4
2020,Leicester City,5
2020,West Ham,6
2020,Tottenham,7
2020,Arsenal,8
2020,Leeds United,9
2020,Everton,10
2020,Aston Villa,11
2020,Newcastle Utd,12
2020,Wolves,13
2020,Crystal Palace,14
2020,Southampton,15
2020,Brighton,16
2020,Burnley,17
2020,Fulham,18
2020,West Brom,19
2020,Sheffield Utd,20
2019,Liverpool,1
2019,Manchester City,2
2019,Manchester Utd,3
2019,Chelsea,4
2019,Leicester City,5
2019,Tottenham,6
2019,Wolves,7
2019,Arsenal,8
2019,Sheffield Utd,9
2019,Burnley,10
2019,Southampton,11
2019,Everton,12
2019,Newcastle Utd,13
2019,Crystal Palace,14
2019,Brighton,15
2019,West Ham,16
2019,Aston Villa,17
2019,Bournemouth,18
2019,Watford,19
2019,Norwich City,20
2018,Manchester City,1
2018,Liverpool,2
2018,Chelsea,3
2018,Tottenham,4
2018,Arsenal,5
2018,Manchester Utd,6
2018,Wolves,7
2018,Everton,8
2018,Leicester City,9
2018,West Ham,10
2018,Watford,11
2018,Crystal Palace,12
2018,Newcastle Utd,13
2018,Bournemouth,14
2018,Burnley,15
2018,Southampton,16
2018,Brighton,17
2018,Cardiff City,18
2018,Fulham,19
2018,Huddersfield,20
2017,Manchester City,1
2017,Manchester Utd,2
2017,Tottenham,3
2017,Liverpool,4
2017,Chelsea,5
2017,Arsenal,6
2017,Burnley,7
2017,Everton,8
2017,Leicester City,9
2017,Newcastle Utd,10
2017,Crystal Palace,11
2017,Bournemouth,12
2017,West Ham,13
2017,Watford,14
2017,Brighton,15
2017,Huddersfield,16
2017,Southampton,17
2017,Swansea City,18
2017,Stoke City,19
2017,West Brom,20
2016,Chelsea,1
2016,Tottenham,2
2016,Manchester City,3
2016,Liverpool,4
2016,Arsenal,5
2016,Manchester Utd,6
2016,Everton,7
2016,Southampton,8
2016,Bournemouth,9
2016,West Brom,10
2016,West Ham,11
2016,Leicester City,12
2016,Stoke City,13
2016,Crystal Palace,14
2016,Swansea City,15
2016,Burnley,16
2016,Watford,17
2016,Hull City,18
2016,Middlesbrough,19
2016,Sunderland,20
2015,Leicester City,1
2015,Arsenal,2
2015,Tottenham,3
2015,Manchester City,4
2015,Manchester Utd,5
2015,Southampton,6
2015,West Ham,7
2015,Liverpool,8
2015,Stoke City,9
2015,Chelsea,10
2015,Everton,11
2015,Swansea City,12
2015,Watford,13
2015,West Brom,14
2015,Crystal Palace,15
2015,Bournemouth,16
2015,Sunderland,17
2015,Newcastle Utd,18
2015,Norwich City,19
2015,Aston Villa,20
2014,Chelsea,1
2014,Manchester City,2
2014,Arsenal,3
2014,Manchester Utd,4
2014,Tottenham,5
2014,Liverpool,6
2014,Southampton,7
2014,Swansea City,8
2014,Stoke City,9
2014,Crystal Palace,10
2014,Everton,11
2014,West Ham,12
2014,West Brom,13
2014,Leicester City,14
2014,Newcastle Utd,15
2014,Sunderland,16
2014,Aston Villa,17
2014,Hull City,18
2014,Burnley,19
2014,QPR,20
